country|quarter|coviddeaths|fullvax|econsupport|gci|gci_institutions|population|grocerymob|retailmob|workmob|stringency|rgdpqoqsa
Croatia|2021Q1|0.5007806941260179|0.006885425725353783|37.5|61.93813062|51.773833229999994|4.04768|2.4|-35.977777777777774|-22.08888888888889|52.16077777777778|5.931121390000001
Croatia|2021Q2|0.5580974780615069|0.19472389121669698|37.5|61.93813062|51.77383323|4.04768|21.01098901098901|-4.857142857142857|-14.45054945054945|46.41901098901099|1.5308518300000002
Croatia|2021Q3|0.10722191477587162|0.5297997865443909|45.92391304347826|61.938130619999995|51.773833229999994|4.04768|56.23913043478261|37.45652173913044|-10.608695652173912|34.35239130434782|1.32508017
Croatia|2021Q4|0.9630207921574828|0.5578973634279389|62.5|61.938130619999995|51.773833229999994|4.04768|25.82608695652174|1.934782608695652|-12.315217391304348|38.88369565217391|1.00192473
Czech Republic|2020Q1|0.002898838304576078|0.0|7.6923076923076925|70.85279934|60.88830825|10.693939|2.67032967032967|-5.758241758241758|-6.0989010989010985|25.886153846153846|-3.24259497
Czech Republic|2020Q2|0.02973647035016751|0.0|90.93406593406593|70.85279934|60.88830825|10.693939|0.0|-31.494505494505493|-22.076923076923077|52.29417582417582|-8.84873946
Czech Republic|2020Q3|0.028614339393557415|0.0|62.5|70.85279934|60.88830825|10.693939|10.445652173913043|3.652173913043478|-17.57608695652174|36.744565217391305|6.9532086600000005
Czech Republic|2020Q4|1.0215963834596973|0.0|62.5|70.85279934|60.88830825|10.694024195652174|0.45652173913043476|-39.858695652173914|-24.695652173913043|64.06054347826087|1.14055038
Czech Republic|2021Q1|1.3867790367898714|0.013887413277252927|58.05555555555556|70.85279934|60.88830825000001|10.701777|-4.277777777777778|-54.3|-25.733333333333334|77.74622222222222|-0.5157542
Czech Republic|2021Q2|0.3627434957764491|0.11687217926518184|37.5|70.85279934|60.88830825|10.701777|17.978021978021978|-21.10989010989011|-11.582417582417582|58.65967032967033|1.40703802
Czech Republic|2021Q3|0.014577018377415265|0.4201451777587965|68.75|70.85279934|60.88830825|10.701777|24.554347826086957|5.804347826086956|-15.608695652173912|37.9420652173913|1.6988365400000003
Czech Republic|2021Q4|0.5299303699319298|0.5136628564677829|93.75|70.85279934|60.88830825|10.699765369565217|19.76086956521739|-7.804347826086956|-14.66304347826087|49.910869565217396|0.84683268
Denmark|2020Q1|0.015456579634101542|0.0|9.478021978021978|81.17489789|77.39979262|5.822763|-4.417582417582418|-7.274725274725275|-12.56043956043956|18.294285714285714|-0.75189101
